pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,id
0,0,0,274,277,239,0
0,0,0,274,278.9,239,1
0,0,0,274,280.8,239,2
0,0,0,274,282.7,239,3
0,0,0,274,284.6,239,4
0,0,0,274,286.5,239,5
0,0,0,274,288.4,239,6
0,0,0,274,290.3,239,7
0,0,0,274,292.2,239,8
0,0,0,274,294.0999,239,9
0,0,0,274,295.9999,239,10
0,0,0,275.9,277,239,11
0,0,0,275.9,278.9,239,12
0,0,0,275.9,280.8,239,13
0,0,0,275.9,282.7,239,14
0,0,0,275.9,284.6,239,15
0,0,0,275.9,286.5,239,16
0,0,0,275.9,288.4,239,17
0,0,0,275.9,290.3,239,18
0,0,0,275.9,292.2,239,19
0,0,0,275.9,294.0999,239,20
0,0,0,275.9,295.9999,239,21
0,0,0,277.8,277,239,22
0,0,0,277.8,278.9,239,23
0,0,0,277.8,280.8,239,24
0,0,0,277.8,282.7,239,25
0,0,0,277.8,284.6,239,26
0,0,0,277.8,286.5,239,27
0,0,0,277.8,288.4,239,28
0,0,0,277.8,290.3,239,29
0,0,0,277.8,292.2,239,30
0,0,0,277.8,294.0999,239,31
0,0,0,277.8,295.9999,239,32
0,0,0,279.7,277,239,33
0,0,0,279.7,278.9,239,34
0,0,0,279.7,280.8,239,35
0,0,0,279.7,282.7,239,36
0,0,0,279.7,284.6,239,37
0,0,0,279.7,286.5,239,38
0,0,0,279.7,288.4,239,39
0,0,0,279.7,290.3,239,40
0,0,0,279.7,292.2,239,41
0,0,0,279.7,294.0999,239,42
0,0,0,279.7,295.9999,239,43
0,0,0,281.6,277,239,44
0,0,0,281.6,278.9,239,45
0,0,0,281.6,280.8,239,46
0,0,0,281.6,282.7,239,47
0,0,0,281.6,284.6,239,48
0,0,0,281.6,286.5,239,49
0,0,0,281.6,288.4,239,50
0,0,0,281.6,290.3,239,51
0,0,0,281.6,292.2,239,52
0,0,0,281.6,294.0999,239,53
0,0,0,281.6,295.9999,239,54
0,0,0,283.5,277,239,55
0,0,0,283.5,278.9,239,56
0,0,0,283.5,280.8,239,57
0,0,0,283.5,282.7,239,58
0,0,0,283.5,284.6,239,59
0,0,0,283.5,286.5,239,60
0,0,0,283.5,288.4,239,61
0,0,0,283.5,290.3,239,62
